设置,设置,设置,設定,,,
常规,常规,常规,常規,,,
网络,网络,网络,網路,,,
其他,其他,其他,其他,,,
视频,视频,视频,視訊,,,
音频,音频,音频,音訊,,,
控制,控制,控制,控制,,,
外观,外观,外观,外觀,,,
账户,账户,账户,賬戶,,,
调试,调试,调试,調試,,,
语言,语言,语言,語言,,,
关于,关于,关于,關於,,,
全屏,全屏,全屏,全熒幕,,,
返回,返回,返回,返回,,,
窗口,窗口,窗口,視窗,,,
缩放,缩放,缩放,縮放,,,
帧率显示,帧率显示,帧率显示,幀率顯示,,,
选单,菜单,菜单,選單,,,
退出,退出,退出,退出,,,
你确定要退出游戏？,你确定要退出游戏？,你确定要退出游戏？,你確定要退出遊戲？,,,
继续,继续,继续,繼續,,,
暂停,暂停,暂停,暫停,,,
输入歌曲名以搜索……,输入歌曲名以搜索……,输入歌曲名以搜索……,輸入歌曲名以搜索……,,,
开始,开始,开始,開始,,,
成绩,成绩,成绩,成績,,,
最终评价,最终评价,最终评价,最終評價,,,
最大连击数,最大连击数,最大连击数,最大連擊數,,,
最高得分,最高得分,最高得分,最高得分,,,
精确度,精确度,精确度,精確度,,,
详情,详情,详情,詳情,,,
歌曲速度,歌曲速度,歌曲速度,歌曲速度,,,
节拍速度,节拍速度,节拍速度,節拍速度,,,
基准节拍,基准节拍,基准节拍,基準節拍,,,
物件数量,物件数量,物件数量,物件數量,,,
谱面类型,谱面类型,谱面类型,譜面類型,,,
谱师,谱师,谱师,譜師,,,
你想要？,你想要？,你想要？,你想要？,,,
搜索,搜索,搜索,搜索,,,
汉语,汉语,汉语,漢語,,,
最佳的成绩面板,最佳的成绩面板,最佳的成绩面板,最佳的成績面板,,,
详细信息,详细信息,详细信息,詳細訊息,,,
得分,得分,得分,得分,,,
分享面板,分享面板,分享面板,分享面板,,,
结算,结算,结算,結算,,,
判定统计,判定统计,判定统计,判定統計,,,
本地排名,本地排名,本地排名,本地排名,,,
网络排名,网络排名,网络排名,網路排名,,,
查看排名,查看排名,查看排名,查看排名,,,
重试,重试,重试,重試,,,
音量,音量,音量,音量,,,
游戏暂停,游戏暂停,游戏暂停,遊戱蹔停,,,
完美,完美,完美,完美,,,
当前连击数,当前连击数,当前连击数,當前連擊數,,,
当前得分,当前得分,当前得分,當前得分,,,
当前时间,当前时间,当前时间,當前時間,,,
回放,回放,回放,回放,,,
请在左侧选择你想要游玩的歌曲,请在左侧选择你想要游玩的歌曲,请在左侧选择你想要游玩的歌曲,請在左側選擇你想要遊玩的歌曲,,,
请在左侧选择你想要设置的选项,请在左侧选择你想要设置的选项,请在左侧选择你想要设置的选项,請在左側選擇你想要設置的選項,,,
准备,准备,准备,準俻,,,
收藏,收藏,收藏,收藏,,,
轨道,轨道,轨道,軌道,,,
无轨,无轨,无轨,無軌,,,
传统,传统,传统,傳統,,,
播放器,播放器,播放器,播放器,,,
随机,随机,随机,隨機,,,
列表,列表,列表,列表,,,
使用倾斜轨道,使用倾斜轨道,使用倾斜轨道,使用傾斜軌道,,,
无限模式,无限模式,无限模式,無限模式,,,
隐藏分隔线,隐藏分隔线,隐藏分隔线,隱藏分隔線,,,
界面安全区偏移,界面安全区偏移,界面安全区偏移,介面安全區偏移,,,
更改,更改,更改,更改,,,
观察屏幕边角标识的位置，设置合适的界面安全区域。,观察屏幕边角标识的位置，设置合适的界面安全区域。,观察屏幕边角标识的位置，设置合适的界面安全区域。,觀察螢幕邊角標識的位置，設置合適的介面安全區域。,,,
水平调整,水平调整,水平调整,水平調整,,,
垂直调整,垂直调整,垂直调整,垂直調整,,,
水平缩放,水平缩放,水平缩放,水平縮放,,,
垂直缩放,垂直缩放,垂直缩放,垂直縮放,,,
分辨率,分辨率,分辨率,解析度,,,
界面调整,界面调整,界面调整,介面調整,,,
中国大陆,中国大陆,中国大陆,中國大陸,,,
中国台湾、中国香港、中国澳门,中国台湾、中国香港、中国澳门,中国台湾、中国香港、中国澳门,中國台灣、中國香港、中國澳門,,,
键盘/鼠标,键盘/鼠标,键盘/鼠标,鍵盤/滑鼠,,,
手柄,手柄,手柄,手柄,,,
触摸屏,触摸屏,触摸屏,觸摸屏,,,
无障碍,无障碍,无障碍,無障礙,,,
轨道数量,轨道数量,轨道数量,軌道數量,,,
无轨道模式,无轨道模式,无轨道模式,無軌道模式,,,
帧率,帧率,帧率,幀率,,,
内存占用,内存占用,内存占用,記憶體佔用,,,
游戏平台,游戏平台,游戏平台,作業系統平台,,,
处理器信息,处理器信息,处理器信息,處理器訊息,,,
显示卡信息,显示卡信息,显示卡信息,顯示卡訊息,,,
游戏作者,游戏作者,游戏作者,遊戲作者,,,
高级,高级,高级,高級,,,
关闭,关闭,关闭,關閉,,,
展开,展开,展开,展開,,,
打开,打开,打开,打開,,,
画质,画质,画质,畫質,,,
垂直同步,垂直同步,垂直同步,垂直同步,,,
界面缩放比例,界面缩放比例,界面缩放比例,介面縮放比例,,,
恢复该项的默认设置,恢复该项的默认设置,恢复该项的默认设置,恢復該項的預設設置,,,
有轨模式按键布局,有轨模式按键布局,有轨模式按键布局,有軌模式按鍵佈局,,,
总音量,总音量,总音量,總音量,,,
背景音乐音量,背景音乐音量,背景音乐音量,背景音樂音量,,,
乐器音量,乐器音量,乐器音量,樂器音量,,,
音频输出设备,音频输出设备,音频输出设备,音訊輸出設備,,,
物件打击时演奏方式,物件打击时演奏方式,物件打击时演奏方式,物件打擊時演奏方式,,,
作为背景音乐处理,作为背景音乐处理,作为背景音乐处理,作為背景音樂處理,,,
仅主音轨手动演奏,仅主音轨手动演奏,仅主音轨手动演奏,僅主音軌手動演奏,,,
全部音符手动演奏,全部音符手动演奏,全部音符手动演奏,全部音符手動演奏,,,
音频延迟,音频延迟,音频延迟,音訊延遲,,,
还原,还原,还原,還原,,,
选择,选择,选择,選擇,,,
按键布局,按键布局,按键布局,按鍵佈局,,,
